dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,97.24,97.24,100.0,94.48,98.57,97.24,98.57,98.57,98.57,98.57,98.57,98.57,100.0,98.57,98.57,98.57,98.57,98.57,98.57,98.57,95.81,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,100.0,98.57,97.24,98.57,98.57,98.67
CLL_SUB_111,63.16,63.16,81.98,53.239999999999995,61.19,60.4,65.77,64.86,64.9,68.42,73.99,71.23,72.92,66.60000000000001,67.47,67.63,70.32000000000001,65.85,70.28,70.24000000000001,49.6,79.29,80.2,80.24,79.29,78.38000000000001,78.38000000000001,76.55999999999999,77.42999999999999,75.57000000000001,77.39,75.69,73.91,73.83,75.69,74.78,80.08
Carcinom,91.38,91.38,94.2,29.9,32.2,29.9,35.65,32.2,37.34,35.65,49.45,56.28999999999999,66.66,64.35,68.96,69.55,74.1,78.74,75.83,77.55,35.68,35.68,35.68,39.14,35.68,40.84,40.84,48.91,51.16,75.33,62.129999999999995,79.29,75.33,79.33,79.29,79.31,79.33
GLIOMA,76.0,76.0,78.0,54.0,80.0,74.0,82.0,82.0,86.0,84.0,82.0,88.0,84.0,92.0,86.0,82.0,86.0,86.0,80.0,86.0,54.0,82.0,80.0,80.0,80.0,80.0,80.0,80.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0
GLI_85,94.12,94.12,97.65,94.12,96.47,94.12,95.29,96.47,97.65,95.29,97.65,97.65,96.47,98.82,95.29,97.65,96.47,96.47,98.82,95.29,92.94,96.47,95.29,95.29,94.12,95.29,95.29,95.29,95.29,95.29,95.29,95.29,95.29,95.29,95.29,96.47,95.29
Prostate_GE,95.05,95.05,94.1,93.1,95.05,94.14,95.1,95.05,94.14,95.0,96.0,95.1,95.05,96.0,95.1,95.05,96.1,95.05,96.05,94.14,93.1,95.1,94.1,95.1,96.05,95.05,96.05,95.05,94.05,94.14,94.05,94.14,94.1,94.14,96.05,96.05,94.14
SMK_CAN_187,73.77,73.77,77.03999999999999,74.31,71.1,71.69,70.55,71.08,71.12,74.82,68.52000000000001,72.69,70.54,70.57,72.15,71.66,70.00999999999999,69.0,70.58,70.61,75.94999999999999,75.42,74.82,73.26,73.76,72.16,73.74000000000001,72.16,72.69,72.23,74.35000000000001,72.2,72.72999999999999,72.19,72.22,71.12,73.8
TOX_171,67.86999999999999,67.28,76.05,67.85,74.32,71.39,70.17999999999999,70.77,72.5,70.19999999999999,71.38,72.55,71.98,73.08,69.04,73.65,72.49,71.34,71.43,68.42,63.74999999999999,67.83,66.08000000000001,66.71000000000001,66.14999999999999,67.28,69.06,66.12,65.48,63.82,66.07,65.53,63.18,67.80000000000001,66.08000000000001,63.78,66.07
colon,88.59,88.59,90.13,88.59,91.67,90.0,91.79,88.59,88.59,90.38,90.26,91.67,88.33,88.72,87.18,90.26,88.72,90.26,88.72,90.26,88.59,91.67,88.46000000000001,91.92,88.59,91.79,93.46,91.92,91.92,91.92,90.13,90.38,88.59,87.05000000000001,87.18,88.46000000000001,88.59
leukemia,97.33,97.33,97.33,91.71,98.67,98.67,98.67,98.67,98.67,98.67,100.0,100.0,98.67,98.67,98.67,98.67,100.0,100.0,100.0,98.67,91.81,98.67,94.48,98.67,98.67,97.24,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67
lung,91.61,91.61,96.56,78.33,91.62,87.17,93.6,92.11,93.07,93.6,95.56,94.55,95.09,94.56,94.07,95.07,94.09,95.04,93.59,96.06,83.74000000000001,96.06,91.6,95.07,95.56,95.09,95.57,95.07,94.56,94.57,95.09,94.59,94.59,94.56,94.09,93.59,93.6
lung_discrete,87.71,86.38,90.38,78.10000000000001,87.71,83.71,90.38,90.57,89.14,87.71,90.38,90.48,87.71,90.38,89.14,87.62,87.71,89.05,85.05,86.19,63.13999999999999,91.81,86.19,88.94999999999999,92.95,90.19,90.48,89.14,89.05,89.05,90.38,87.81,90.29,90.38,90.38,89.14,89.14
lymphoma,85.47,83.47,95.89,83.53,89.68,87.58,91.74,94.79,93.79,89.63,90.74,88.63,90.63,88.53,93.79,88.47,88.63,88.63,86.53,88.47,82.42,92.63,88.58,91.68,92.68,93.79,92.74,91.79,90.79,89.74,89.68,88.68,88.68,88.68,88.63,86.53,87.63
nci9,75.0,75.0,80.0,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67
