dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57,98.67,97.24,98.57,98.67,100.0,100.0,98.57,98.67,100.0,100.0,100.0,100.0,98.67,98.67,98.67,98.67,100.0,100.0,100.0,95.9,98.57,97.24,97.24,98.57,98.57,97.24,98.57,98.57,97.24,98.57,97.24,98.57,98.57,98.57,98.57,97.24
BASEHOCK,94.58,94.58,93.98,82.78999999999999,91.17,89.46,92.12,91.37,92.12,91.87,92.32,92.27,92.17,92.88,92.07,91.77,92.02,92.37,92.07,92.32,84.95,92.62,90.87,93.13,92.77,93.33,93.13,93.48,93.88,93.53,93.93,93.28,93.23,93.63,93.68,93.83,93.58
CLL_SUB_111,76.6,82.02000000000001,78.46,78.38000000000001,77.55,78.25999999999999,78.3,78.34,79.21000000000001,77.42999999999999,75.57000000000001,76.6,76.52,75.73,75.73,75.69,73.83,81.23,76.44,74.82,75.73,79.25,75.69,79.36999999999999,79.25,81.11,77.66999999999999,79.25,76.6,78.34,79.25,80.99,79.25,77.59,80.99,80.16,78.38000000000001
COIL20,69.03,79.17,82.01,74.38,82.36,82.15,84.38,82.5,84.86,85.14,86.18,85.28,84.44,87.22,84.78999999999999,84.58,86.25,85.69,85.61999999999999,86.74,71.11,76.32,77.42999999999999,76.81,76.53,80.56,77.92,81.67,82.5,81.04,79.93,78.4,79.93,80.07,79.72,77.5,79.79
Carcinom,94.81,94.82,89.08,86.76,93.11,94.24,92.5,93.68,93.66,93.65,93.09,94.81,90.79,92.5,89.05999999999999,90.24,89.08,90.79,88.47,90.81,89.63,94.24,93.09,93.65,94.22,93.66,92.5,93.09,93.09,94.82,90.77,90.77,91.92,90.2,90.76,88.52,89.64999999999999
GLIOMA,86.0,84.0,72.0,86.0,88.0,90.0,82.0,90.0,86.0,86.0,88.0,84.0,86.0,88.0,84.0,84.0,82.0,92.0,80.0,80.0,84.0,78.0,80.0,78.0,80.0,74.0,76.0,76.0,76.0,74.0,76.0,74.0,76.0,78.0,74.0,74.0,72.0
GLI_85,94.12,90.59,90.59,95.29,96.47,96.47,98.82,96.47,96.47,98.82,97.65,97.65,95.29,96.47,95.29,96.47,96.47,96.47,94.12,95.29,95.29,94.12,94.12,95.29,94.12,95.29,94.12,92.94,96.47,94.12,92.94,97.65,95.29,95.29,95.29,95.29,96.47
Isolet,74.87,83.33,87.63,65.9,83.65,81.6,83.59,82.76,84.87,84.55,84.74000000000001,84.36,84.04,84.74000000000001,84.49,84.04,82.76,84.1,82.24000000000001,83.08,57.49999999999999,79.86999999999999,77.75999999999999,81.86,80.32000000000001,81.03,81.28,81.92,81.03,82.12,81.03,80.45,81.54,80.06,81.22,80.71000000000001,81.41000000000001
ORL,88.5,92.5,94.75,79.25,93.75,93.0,93.25,93.75,94.25,93.25,93.0,92.0,93.0,92.25,92.25,93.25,91.75,91.75,90.0,91.75,73.0,85.75,86.0,88.5,87.75,87.75,87.75,88.0,87.0,88.25,86.75,85.25,89.0,84.25,84.25,83.75,85.0
PCMAC,85.69,85.9,84.1,77.66,83.43,82.24000000000001,83.53,83.67999999999999,83.69,83.74000000000001,84.82,84.05,83.89,83.84,84.66,84.25,83.99,84.56,84.1,84.1,77.66,82.91,78.69,84.15,82.91,87.6,84.2,87.75,88.37,85.49,85.95,86.21,88.63,86.77,88.58,86.57000000000001,86.52
